log_buy_price,sq_mt_built,n_rooms,n_bathrooms,neighborhood,has_lift,has_parking,has_pool,has_garden,has_storage_room,is_floor_under
11.350418300109132,64.0,2,1.0,135,0.0,0,0,0,0,0.0
11.774527900858468,70.0,3,1.0,132,1.0,0,0,0,0,0.0
11.879289319456204,94.0,2,2.0,134,1.0,0,0,0,1,0.0
11.60733523953139,64.0,2,1.0,134,1.0,0,0,0,1,1.0
12.468440756144114,108.0,2,2.0,133,1.0,1,1,0,1,0.0
12.180759965737863,126.0,4,2.0,134,0.0,1,0,0,0,0.0
12.154784614286667,120.0,5,2.0,134,0.0,1,1,0,1,0.0
12.198549416880068,125.0,3,2.0,134,0.0,0,0,0,0,0.0
12.264346270624157,84.0,3,2.0,131,1.0,1,1,0,1,0.0
11.786008995353765,85.0,2,1.0,133,0.0,0,0,0,0,0.0
11.678448377988165,69.0,2,2.0,134,0.0,0,0,0,0,0.0
12.41674272554783,122.0,3,2.0,131,1.0,1,1,0,1,0.0
12.180759965737863,123.0,3,2.0,133,1.0,0,0,0,0,0.0
12.230770136157428,109.0,3,2.0,132,1.0,0,0,0,1,0.0
11.184435286790631,64.0,3,1.0,135,0.0,0,0,0,0,0.0
11.982935344196433,115.0,3,1.0,133,1.0,0,0,0,1,0.0
12.127575825689417,115.0,3,1.0,133,0.0,0,0,0,0,0.0
11.407576060361786,65.0,3,1.0,132,0.0,0,0,0,0,0.0
11.774527900858468,75.0,3,1.0,134,1.0,0,0,0,0,0.0
11.460589521950299,60.0,2,1.0,135,0.0,0,0,0,0,1.0
11.40646434386837,60.0,2,1.0,134,0.0,0,0,0,0,0.0
11.88380602959621,95.0,4,2.0,132,0.0,0,0,0,0,0.0
11.608244735642321,76.0,3,1.0,134,0.0,0,0,0,0,0.0
11.440365524765756,51.0,2,1.0,134,1.0,0,0,0,0,1.0
11.775297421715827,134.0,3,2.0,134,1.0,0,0,0,0,0.0
11.552155793461898,62.0,2,1.0,134,1.0,0,0,0,0,0.0
11.835016210489899,75.0,3,1.0,134,0.0,1,0,0,0,0.0
12.54254845357358,112.0,4,2.0,131,1.0,1,1,0,1,0.0
11.918397239722838,65.0,3,1.0,133,1.0,0,1,0,0,0.0
11.890683588496984,70.0,2,1.0,134,0.0,0,0,0,0,0.0
11.434974734252892,75.0,1,1.0,134,1.0,0,0,0,0,0.0
12.604852121186608,123.0,3,2.0,133,1.0,1,1,0,1,0.0
11.511934974596555,61.0,3,1.0,134,1.0,0,0,0,0,0.0
11.835016210489899,72.0,2,1.0,134,0.0,1,0,0,0,0.0
