sq_mt_built,sq_mt_useful,n_rooms,n_bathrooms,n_floors,sq_mt_allotment,floor,is_floor_under,rent_price,buy_price,buy_price_by_area,is_renewal_needed,is_new_development,built_year,has_central_heating,has_individual_heating,has_ac,has_fitted_wardrobes,has_lift,is_exterior,has_garden,has_pool,has_terrace,has_balcony,has_storage_room,is_accessible,has_green_zones,energy_certificate,has_parking,is_parking_included_in_price,parking_price,is_orientation_north,is_orientation_west,is_orientation_south,is_orientation_east,product,neighborhood
93,70,2,2,,,7,0,1004,228273,2455,0,True,,,,0,0,1,1,0,1,1,0,0,0,1,,0,,,,,,,piso,131
103,,4,2,,,1,0,823,171900,1669,0,False,,,,0,0,1,1,0,0,0,0,1,0,0,,0,,,,,,,piso,132
83,69,2,2,,,7,0,1004,228273,2750,0,False,2020,0,1,1,1,1,1,0,1,1,0,1,1,1,,1,1,0,,,,,atico,131
45,41,2,1,,,1,0,471,85000,1889,1,False,1968,0,1,0,0,0,1,0,0,0,1,0,0,0,,0,,,,,,,piso,133
120,,3,2,,,7,0,1195,298000,2483,0,False,,0,1,1,1,1,,0,1,0,0,1,0,0,,1,1,0,,,,,piso,133
74,,3,1,,,1,0,702,139000,1878,0,False,,0,1,0,1,0,1,0,0,0,0,1,0,0,,0,,,0,0,1,0,piso,132
125,,3,2,,,7,0,1128,272500,2180,0,False,2004,0,1,0,1,1,1,0,1,1,0,1,0,1,,0,,,,,,,duplex,131
126,105,4,2,,,bajo,1,1135,275000,2183,0,False,,0,1,1,1,1,1,0,1,1,0,1,1,1,,1,1,0,0,0,1,1,piso,131
158,,3,2,,,4,0,1172,289000,1829,0,False,2003,0,1,1,1,1,1,0,1,1,0,1,0,1,,1,1,0,,,,,atico,131
65,52,2,1,,,,,604,115000,1769,0,False,,,,0,0,0,1,0,0,0,0,0,0,0,,0,,,,,,,piso,133
108,,3,2,,,4,0,847,179000,1657,0,False,1978,,,0,1,1,1,0,0,1,0,0,0,0,,0,,,,,,,piso,132
62,48,2,1,,,bajo,1,638,123000,1984,0,False,1984,0,1,1,0,1,1,0,0,0,0,0,0,0,,0,,,1,0,0,0,piso,134
51,,2,1,,,3,0,492,89500,1755,1,False,1967,,,0,0,0,1,0,0,1,0,0,0,0,,0,,,0,0,0,1,piso,133
112,80,3,2,,,3,0,1172,289000,2580,0,False,2013,0,1,1,1,1,1,0,1,0,0,1,1,1,,1,1,0,0,0,1,0,piso,131
109,,3,2,,,2,0,968,216278,1984,0,True,,0,1,0,0,1,1,0,1,1,0,1,0,0,,1,1,0,,,,,piso,131
107,,3,2,,,1,0,940,207503,1939,0,True,,0,1,0,0,1,1,0,1,1,0,1,0,0,,1,1,0,,,,,piso,131
76,,2,2,,,3,0,790,162793,2142,0,True,,0,1,0,0,1,1,0,1,0,0,1,0,0,,1,1,0,,,,,piso,131
105,,3,2,,,1,0,933,204999,1952,0,True,,0,1,0,0,1,1,0,1,1,0,1,0,0,,1,1,0,,,,,piso,131
109,,3,2,,,4,0,982,220879,2026,0,True,,0,1,0,0,1,1,0,1,1,0,1,0,0,,1,1,0,,,,,piso,131
108,,3,2,,,4,0,974,218258,2021,0,True,,0,1,0,0,1,1,0,1,1,0,1,0,0,,1,1,0,,,,,piso,131
109,,3,2,,,bajo,1,1014,231855,2127,0,True,,0,1,0,0,1,1,0,1,1,0,1,0,0,,1,1,0,,,,,piso,131
76,,2,2,,,4,0,793,163397,2150,0,True,,0,1,0,0,1,1,0,1,0,0,1,0,0,,1,1,0,,,,,piso,131
76,,2,2,,,2,0,783,160759,2115,0,True,,0,1,0,0,1,1,0,1,0,0,1,0,0,,1,1,0,,,,,piso,131
108,,3,2,,,3,0,970,217169,2011,0,True,,0,1,0,0,1,1,0,1,1,0,1,0,0,,1,1,0,,,,,piso,131
76,,2,2,,,5,0,799,165208,2174,0,True,,0,1,0,0,1,1,0,1,0,0,1,0,0,,1,1,0,,,,,piso,131
109,,3,2,,,3,0,978,219775,2016,0,True,,0,1,0,0,1,1,0,1,1,0,1,0,0,,1,1,0,,,,,piso,131
108,,3,2,,,bajo,1,1011,230817,2137,0,True,,0,1,0,0,1,1,0,1,1,0,1,0,0,,1,1,0,,,,,piso,131
108,,3,2,,,2,0,960,213722,1979,0,True,,0,1,0,0,1,1,0,1,1,0,1,0,0,,1,1,0,,,,,piso,131
111,,2,2,,,6,0,1011,230749,2079,0,True,,,,0,0,1,1,0,1,1,0,1,0,0,,1,1,0,,,,,atico,131
115,,3,2,,,2,0,1020,233789,2033,0,True,,,,0,0,1,1,0,1,0,0,1,0,0,,1,1,0,,,,,piso,131
115,,3,2,,,1,0,1011,230789,2007,0,True,,,,0,0,1,1,0,1,0,0,1,0,0,,1,1,0,,,,,piso,131
117,,3,2,,,1,0,1050,244171,2087,0,True,,,,0,0,1,1,0,1,1,0,1,0,0,,1,1,0,,,,,piso,131
117,,3,2,,,1,0,1048,243468,2081,0,True,,,,0,0,1,1,0,1,1,0,1,0,0,,1,1,0,,,,,piso,131
117,,3,2,,,1,0,1052,244798,2092,0,True,,,,0,0,1,1,0,1,1,0,1,0,0,,1,1,0,,,,,piso,131
118,,3,2,,,1,0,977,219235,1858,0,True,,,,0,0,1,1,0,1,0,0,1,0,0,,1,1,0,,,,,piso,131
115,,3,2,,,5,0,1046,242789,2111,0,True,,,,0,0,1,1,0,1,0,0,1,0,0,,1,1,0,,,,,piso,131
97,91,4,1,,,3,0,666,130000,1340,0,,1970,,,0,0,0,,0,0,0,0,0,0,0,,0,,,,,,,piso,134
106,81,3,2,,,3,0,1071,251569,2373,0,True,,,,0,0,1,1,0,1,1,0,0,0,1,,0,,,,,,,piso,131
103,79,3,2,,,3,0,1025,235402,2285,0,True,,,,0,0,1,1,0,1,1,0,0,0,1,,0,,,,,,,piso,131
103,79,3,2,,,1,0,1024,235172,2283,0,True,,,,0,0,1,1,0,1,1,0,0,0,1,,0,,,,,,,piso,131
103,79,3,2,,,5,0,1027,236227,2293,0,True,,,,0,0,1,1,0,1,1,0,0,0,1,,0,,,,,,,piso,131
114,85,3,2,,,2,0,1080,254710,2234,0,True,,,,0,0,1,1,0,1,1,0,0,0,1,,0,,,,,,,piso,131
150,,2,1,2,,,0,777,159000,1060,1,False,1993,0,1,0,0,,,0,0,1,0,1,0,0,,1,1,0,,,,,chalet adosado,134
140,,3,3,,,7,0,1128,272500,1946,0,False,2004,0,1,1,1,1,1,0,1,1,0,1,0,1,,0,,,0,0,1,0,duplex,131
58,,3,1,,,2,0,471,85000,1466,0,False,1951,,,1,0,0,1,0,0,0,0,0,0,0,,0,,,,,,,piso,133
65,,3,1,,,1,0,512,94000,1446,0,False,,0,1,1,1,0,1,0,0,1,0,0,0,0,,0,,,0,0,0,1,piso,135
110,,4,2,,,1,0,833,175000,1591,0,False,1978,0,1,0,1,0,1,0,0,1,1,0,0,0,,0,,,,,,,piso,133
173,107,4,2,,,2,0,1116,268000,1549,0,False,2003,0,1,1,1,1,1,0,1,0,0,1,1,0,,1,1,0,1,0,1,0,piso,131
75,,2,1,,,3,0,766,156000,2080,0,False,,0,1,1,1,1,1,0,0,1,0,1,0,0,,0,,,,,,,atico,134
90,,1,1,,,7,0,861,183159,2035,0,True,,,,0,0,1,1,0,1,1,0,1,0,0,,1,1,0,,,,,atico,131
125,87,3,2,,,1,0,948,210000,1680,0,False,1996,0,1,1,1,1,1,0,0,0,0,1,1,0,,1,1,0,,,,,piso,133
58,,2,1,,,bajo,1,471,85000,1466,0,False,1968,,,0,0,0,1,0,0,0,0,0,0,0,,0,,,,,,,piso,134
92,,3,1,,,6,0,780,159900,1738,0,False,1962,0,1,1,0,1,1,0,0,1,0,0,0,0,,0,,,,,,,piso,132
70,,2,1,,,3,0,613,117000,1671,0,False,1975,0,1,1,1,0,1,0,0,0,0,0,0,0,,0,,,1,0,1,0,piso,134
54,50,2,1,,,2,0,583,110000,2037,0,False,1960,0,1,0,0,0,1,0,0,0,1,0,0,0,,0,,,0,0,1,0,piso,134
52,,2,1,,,1,0,539,100000,1923,0,False,,,,0,0,0,1,0,0,0,0,0,0,0,,0,,,,,,,piso,133
108,,3,1,,,2,0,705,140000,1296,0,False,1995,0,1,1,1,0,1,0,0,1,0,0,0,0,,0,,,0,1,0,1,piso,134
65,52,2,1,,,3,0,568,106500,1638,0,False,1963,0,1,1,1,0,1,0,0,1,0,0,0,0,,0,,,0,0,1,0,piso,133
102,81,3,2,,,3,0,656,127500,1250,0,False,1964,0,1,0,0,0,1,0,0,1,0,0,0,0,,0,,,0,1,0,0,piso,133
