sq_mt_built,n_bathrooms,n_rooms,rent_price,n_bathrooms,sq_mt_built,buy_price_by_area,has_garden,has_pool,neighborhood,has_pool,buy_price
92.0,1.0,3,780,1.0,92.0,1738,0,0,132,0,159900
70.0,1.0,2,613,1.0,70.0,1671,0,0,134,0,117000
54.0,1.0,2,583,1.0,54.0,2037,0,0,134,0,110000
52.0,1.0,2,539,1.0,52.0,1923,0,0,133,0,100000
108.0,1.0,3,705,1.0,108.0,1296,0,0,134,0,140000
65.0,1.0,2,568,1.0,65.0,1638,0,0,133,0,106500
102.0,2.0,3,656,2.0,102.0,1250,0,0,133,0,127500
80.0,1.0,2,736,1.0,80.0,1850,0,0,134,0,148000
80.0,2.0,3,979,2.0,80.0,2750,0,1,133,1,220000
16.0,1.0,3,600,1.0,16.0,7125,0,0,133,0,114000
54.0,1.0,2,493,1.0,54.0,1665,0,0,134,0,89900
70.0,2.0,2,948,2.0,70.0,3000,0,1,133,1,210000
99.0,2.0,2,725,2.0,99.0,1465,0,0,134,0,145000
123.0,2.0,4,1135,2.0,123.0,2236,0,0,133,0,275000
64.0,1.0,3,557,1.0,64.0,1625,0,0,132,0,104000
107.0,2.0,3,1005,2.0,107.0,2137,0,1,131,1,228629
76.0,2.0,2,813,2.0,76.0,2224,0,1,131,1,169021
109.0,2.0,3,988,2.0,109.0,2046,0,1,131,1,223022
108.0,2.0,3,979,2.0,108.0,2038,0,1,131,1,220072
103.0,2.0,3,1026,2.0,103.0,2289,0,1,131,1,235718
103.0,2.0,3,1052,2.0,103.0,2379,0,1,131,1,245000
143.0,2.0,3,1094,2.0,143.0,1818,0,1,131,1,260000
99.0,2.0,3,1024,2.0,99.0,2374,0,1,131,1,235000
100.0,2.0,3,1024,2.0,100.0,2350,0,1,131,1,235000
176.0,2.0,2,1108,2.0,176.0,1506,0,1,131,1,265000
87.0,2.0,2,884,2.0,87.0,2184,0,1,131,1,190000
106.0,2.0,3,1084,2.0,106.0,2416,0,1,131,1,256115
113.0,2.0,3,1100,2.0,113.0,2318,0,1,131,1,261989
115.0,2.0,3,1131,2.0,115.0,2377,0,1,131,1,273353
129.0,2.0,3,1194,2.0,129.0,2307,0,1,131,1,297621
115.0,2.0,3,1148,2.0,115.0,2433,0,1,131,1,279778
110.0,2.0,2,686,2.0,110.0,1227,0,0,134,0,135000
90.0,2.0,3,901,2.0,90.0,2167,0,0,132,0,195000
60.0,1.0,2,654,1.0,60.0,2115,0,0,133,0,126900
54.0,1.0,2,691,1.0,54.0,2526,0,0,132,0,136400
80.0,1.0,3,725,1.0,80.0,1812,0,0,134,0,145000
73.0,1.0,2,656,1.0,73.0,1747,0,0,134,0,127500
122.0,2.0,3,847,2.0,122.0,1467,0,0,134,0,179000
98.0,2.0,3,1111,2.0,98.0,2716,0,1,131,1,266122
97.0,2.0,3,1100,2.0,97.0,2701,0,1,131,1,261989
111.0,2.0,3,1194,2.0,111.0,2681,0,1,131,1,297621
99.0,2.0,3,1071,2.0,99.0,2541,0,1,131,1,251569
77.0,1.0,3,598,1.0,77.0,1474,0,0,133,0,113500
85.0,1.0,3,698,1.0,85.0,1624,0,0,134,0,138000
90.0,2.0,3,994,2.0,90.0,2500,0,1,131,1,225000
133.0,1.0,2,1105,1.0,133.0,1985,0,1,133,1,264000
60.0,1.0,3,531,1.0,60.0,1638,0,0,133,0,98260
133.0,3.0,3,1135,3.0,133.0,2068,0,1,131,1,275000
85.0,1.0,2,642,1.0,85.0,1459,0,0,134,0,124000
59.0,2.0,2,797,2.0,59.0,2788,0,1,132,1,164513
59.0,2.0,2,796,2.0,59.0,2787,0,1,132,1,164416
